submission_id,RT,age,comments,correctness,education,endTime,expected_answer,experiment_id,gender,key1,key2,key_pressed,languages,number_sequence,recall_answer,recall_list,recall_type,startDate,startTime,stimulus_number,switch_mode,task,timeSpent,trial_name,trial_number,trial_type,value1,value2
1618,NA,,,NA,,1595515442697,NA,160,,NA,NA,NA,,NA,NA,V,letters,Thu Jul 23 2020 16:43:15 GMT+0200 (за центральноєвропейським літнім часом),1595515395252,NA,NA,NA,0.79075,practice_show_recall,1,NA,NA,NA
1618,1123,,,incorrect,,1595515442697,even,160,,f,j,f,,4|4|2|4|2|6|3|8,NA,NA,NA,Thu Jul 23 2020 16:43:15 GMT+0200 (за центральноєвропейським літнім часом),1595515395252,4,high-switch,odd_even_task,0.79075,key_press_practice,1,practice,odd,even
1618,162,,,correct,,1595515442697,even,160,,f,j,j,,4|4|2|4|2|6|3|8,NA,NA,NA,Thu Jul 23 2020 16:43:15 GMT+0200 (за центральноєвропейським літнім часом),1595515395252,4,high-switch,odd_even_task,0.79075,key_press_practice,2,practice,odd,even
1618,219,,,incorrect,,1595515442697,less,160,,f,j,j,,4|4|2|4|2|6|3|8,NA,NA,NA,Thu Jul 23 2020 16:43:15 GMT+0200 (за центральноєвропейським літнім часом),1595515395252,2,high-switch,less_greater_task,0.79075,key_press_practice,3,practice,less,greater
1618,178,,,incorrect,,1595515442697,even,160,,f,j,f,,4|4|2|4|2|6|3|8,NA,NA,NA,Thu Jul 23 2020 16:43:15 GMT+0200 (за центральноєвропейським літнім часом),1595515395252,4,high-switch,odd_even_task,0.79075,key_press_practice,4,practice,odd,even
1618,227,,,incorrect,,1595515442697,even,160,,f,j,f,,4|4|2|4|2|6|3|8,NA,NA,NA,Thu Jul 23 2020 16:43:15 GMT+0200 (за центральноєвропейським літнім часом),1595515395252,2,high-switch,odd_even_task,0.79075,key_press_practice,5,practice,odd,even
1618,88,,,correct,,1595515442697,greater,160,,f,j,j,,4|4|2|4|2|6|3|8,NA,NA,NA,Thu Jul 23 2020 16:43:15 GMT+0200 (за центральноєвропейським літнім часом),1595515395252,6,high-switch,less_greater_task,0.79075,key_press_practice,6,practice,less,greater
1618,170,,,incorrect,,1595515442697,odd,160,,f,j,j,,4|4|2|4|2|6|3|8,NA,NA,NA,Thu Jul 23 2020 16:43:15 GMT+0200 (за центральноєвропейським літнім часом),1595515395252,3,high-switch,odd_even_task,0.79075,key_press_practice,7,practice,odd,even
1618,36,,,correct,,1595515442697,greater,160,,f,j,j,,4|4|2|4|2|6|3|8,NA,NA,NA,Thu Jul 23 2020 16:43:15 GMT+0200 (за центральноєвропейським літнім часом),1595515395252,8,high-switch,less_greater_task,0.79075,key_press_practice,8,practice,less,greater
1618,NA,,,NA,,1595515442697,NA,160,,NA,NA,NA,,NA,,V,letters,Thu Jul 23 2020 16:43:15 GMT+0200 (за центральноєвропейським літнім часом),1595515395252,NA,NA,NA,0.79075,practice_check_recall,1,NA,NA,NA
1618,NA,,,NA,,1595515442697,NA,160,,NA,NA,NA,,NA,NA,F Q N,letters,Thu Jul 23 2020 16:43:15 GMT+0200 (за центральноєвропейським літнім часом),1595515395252,NA,NA,NA,0.79075,main_show_recall_3_letters_low_switch,1,NA,NA,NA
1618,207,,,incorrect,,1595515442697,greater,160,,f,j,f,,9|0|2|2|2|3|9|8,NA,NA,NA,Thu Jul 23 2020 16:43:15 GMT+0200 (за центральноєвропейським літнім часом),1595515395252,9,low-switch,less_greater_task,0.79075,key_press_main_3_letters_low_switch,1,main,less,greater
1618,158,,,incorrect,,1595515442697,less,160,,f,j,j,,9|0|2|2|2|3|9|8,NA,NA,NA,Thu Jul 23 2020 16:43:15 GMT+0200 (за центральноєвропейським літнім часом),1595515395252,0,low-switch,less_greater_task,0.79075,key_press_main_3_letters_low_switch,2,main,less,greater
1618,276,,,incorrect,,1595515442697,even,160,,f,j,f,,9|0|2|2|2|3|9|8,NA,NA,NA,Thu Jul 23 2020 16:43:15 GMT+0200 (за центральноєвропейським літнім часом),1595515395252,2,low-switch,odd_even_task,0.79075,key_press_main_3_letters_low_switch,3,main,odd,even
1618,163,,,correct,,1595515442697,even,160,,f,j,j,,9|0|2|2|2|3|9|8,NA,NA,NA,Thu Jul 23 2020 16:43:15 GMT+0200 (за центральноєвропейським літнім часом),1595515395252,2,low-switch,odd_even_task,0.79075,key_press_main_3_letters_low_switch,4,main,odd,even
1618,165,,,correct,,1595515442697,less,160,,f,j,f,,9|0|2|2|2|3|9|8,NA,NA,NA,Thu Jul 23 2020 16:43:15 GMT+0200 (за центральноєвропейським літнім часом),1595515395252,2,low-switch,less_greater_task,0.79075,key_press_main_3_letters_low_switch,5,main,less,greater
1618,154,,,incorrect,,1595515442697,odd,160,,f,j,j,,9|0|2|2|2|3|9|8,NA,NA,NA,Thu Jul 23 2020 16:43:15 GMT+0200 (за центральноєвропейським літнім часом),1595515395252,3,low-switch,odd_even_task,0.79075,key_press_main_3_letters_low_switch,6,main,odd,even
1618,167,,,correct,,1595515442697,odd,160,,f,j,f,,9|0|2|2|2|3|9|8,NA,NA,NA,Thu Jul 23 2020 16:43:15 GMT+0200 (за центральноєвропейським літнім часом),1595515395252,9,low-switch,odd_even_task,0.79075,key_press_main_3_letters_low_switch,7,main,odd,even
